zone,ecosystem,aboveground_pct,belowground_pct
"Boreal managed forest (Abitibi, Quebec)",forest,91.58307566447155,8.416924335528437
"Intact tropical rainforest (Tapajos, Brazil)",forest,97.23318866612071,2.766811333879286
"Native temperate forest (Alerce Costero, Chile)",forest,92.7293560945518,7.270643905448207
"Pinus radiata plantation (Biobio, Chile)",forest,92.31809142070297,7.681908579297021
"Rocuant-Andalien wetland (Biobio, Chile)",wetland,0.0,100.0
"Boreal peatland (Abitibi, Quebec)",wetland,0.0,100.0
"Rio Cruces wetland (Los Rios, Chile)",wetland,0.0,100.0
