zone,AGB,BGB,Deadwood/litter,SOC (0-30cm)
"Boreal managed forest (Abitibi, Quebec)",47.59199026003001,13.801677175408702,4.759199026003001,60.79766021663251
"Intact tropical rainforest (Tapajos, Brazil)",106.54190135717725,25.57005632572254,6.392514081430635,39.41203076105985
"Native temperate forest (Alerce Costero, Chile)",118.00866758257109,28.32208021981706,11.80086675825711,123.9864815292938
"Pinus radiata plantation (Biobio, Chile)",95.78299307669113,23.945748269172782,4.789149653834556,103.61295824320412
