zone,ESA CCI Biomass,GEDI L4B
"Boreal managed forest (Abitibi, Quebec)",47.59199026003001,16.88757252550976
"Intact tropical rainforest (Tapajos, Brazil)",106.54190135717725,37.33888655017908
"Native temperate forest (Alerce Costero, Chile)",118.00866758257109,48.831755177022906
"Pinus radiata plantation (Biobio, Chile)",95.78299307669113,74.97709254896843
