zone,soc_Mg_ha,type
"Boreal managed forest (Abitibi, Quebec)",6.079766021663284,forest
"Intact tropical rainforest (Tapajos, Brazil)",3.941203076106031,forest
"Native temperate forest (Alerce Costero, Chile)",12.398648152929326,forest
"Pinus radiata plantation (Biobio, Chile)",10.36129582432036,forest
"Rocuant-Andalien wetland (Biobio, Chile)",10.335546008731406,wetland
"Boreal peatland (Abitibi, Quebec)",6.40251557999559,wetland
"Rio Cruces wetland (Los Rios, Chile)",13.999233583282368,wetland
