zone,ecosystem,area_ha,total_C_Mg,total_CO2e_Mg
"Boreal managed forest (Abitibi, Quebec)",forest,40802.35815367728,5179880.857316747,18994623.10378051
"Intact tropical rainforest (Tapajos, Brazil)",forest,61745.298252088294,10985507.512398643,40283856.047965825
"Native temperate forest (Alerce Costero, Chile)",forest,47253.92903124699,13331188.491064498,48885468.19673351
"Pinus radiata plantation (Biobio, Chile)",forest,48848.689843983055,11143893.098511005,40864655.992239855
"Rocuant-Andalien wetland (Biobio, Chile)",wetland,7926.611413975342,789822.1555040043,2896277.8442331837
"Boreal peatland (Abitibi, Quebec)",wetland,18569.895074197466,1176120.0180739898,4312832.1062773205
"Rio Cruces wetland (Los Rios, Chile)",wetland,14843.683774772886,2090197.6494664953,7664754.780593637
