balanced_accuracy,roc_auc,precision,recall,years_since_disturbance,n_fire,n_harvest,n_used,spatial_block_km,spatial_folds
0.577844,0.704651,0.550781,0.844311,1,167,167,334,5,4
0.969136,0.980034,0.963415,0.975309,12,81,81,162,5,4
0.713043,0.788658,0.673759,0.826087,19,115,115,230,5,4
0.556886,0.695184,0.536122,0.844311,1,167,167,334,10,4
0.759259,0.876848,0.677966,0.987654,12,81,81,162,10,2
0.713043,0.788733,0.673759,0.826087,19,115,115,230,10,3
