balanced_accuracy,roc_auc,precision,recall,years_since_disturbance,n_fire,n_harvest,n_used,spatial_block_km,spatial_folds
0.583832,0.633296,0.573684,0.652695,1,167,167,334,5,4
0.370370,0.420058,0.363636,0.345679,12,81,81,162,5,4
0.404348,0.353875,0.431250,0.600000,19,115,115,230,5,4
0.589820,0.631970,0.578947,0.658683,1,167,167,334,10,4
0.697531,0.749428,0.681818,0.740741,12,81,81,162,10,2
0.404348,0.353648,0.431250,0.600000,19,115,115,230,10,3
