sample_id,disturbance_type,disturbance_year,years_since_disturbance,lon,lat,NBR_2024,embedding_A00,embedding_A01,embedding_A02,embedding_A03,embedding_A04,embedding_A05,embedding_A06,embedding_A07,embedding_A08,embedding_A09,embedding_A10,embedding_A11,embedding_A12,embedding_A13,embedding_A14,embedding_A15,embedding_A16,embedding_A17,embedding_A18,embedding_A19,embedding_A20,embedding_A21,embedding_A22,embedding_A23,embedding_A24,embedding_A25,embedding_A26,embedding_A27,embedding_A28,embedding_A29,embedding_A30,embedding_A31,embedding_A32,embedding_A33,embedding_A34,embedding_A35,embedding_A36,embedding_A37,embedding_A38,embedding_A39,embedding_A40,embedding_A41,embedding_A42,embedding_A43,embedding_A44,embedding_A45,embedding_A46,embedding_A47,embedding_A48,embedding_A49,embedding_A50,embedding_A51,embedding_A52,embedding_A53,embedding_A54,embedding_A55,embedding_A56,embedding_A57,embedding_A58,embedding_A59,embedding_A60,embedding_A61,embedding_A62,embedding_A63,spatial_fold,std_A00,std_A01,std_A02,std_A03,std_A04,std_A05,std_A06,std_A07,std_A08,std_A09,std_A10,std_A11,std_A12,std_A13,std_A14,std_A15,std_A16,std_A17,std_A18,std_A19,std_A20,std_A21,std_A22,std_A23,std_A24,std_A25,std_A26,std_A27,std_A28,std_A29,std_A30,std_A31,std_A32,std_A33,std_A34,std_A35,std_A36,std_A37,std_A38,std_A39,std_A40,std_A41,std_A42,std_A43,std_A44,std_A45,std_A46,std_A47,std_A48,std_A49,std_A50,std_A51,std_A52,std_A53,std_A54,std_A55,std_A56,std_A57,std_A58,std_A59,std_A60,std_A61,std_A62,std_A63,PC1,PC2,PC3,x_m,y_m,B2,B3,B4,B8,B11,B12
probable_harvest_2005_1057,probable_harvest,2005,19,-76.852175,48.740656,0.606282,0.032541,-0.119093,0.048228,-0.075356,-0.071111,-0.199862,-0.079723,0.147697,0.062991,0.003014,0.079723,-0.010396,-0.153787,-0.093564,-0.214133,0.075356,0.004983,-0.075356,-0.001538,-0.055363,0.066990,-0.108512,0.019931,-0.108512,-0.019931,0.192910,-0.141730,-0.035433,0.336855,-0.075356,0.093564,0.059116,0.179377,0.044844,-0.075356,0.166336,0.221453,0.038447,-0.108512,0.059116,-0.119093,0.022207,-0.192910,0.228897,0.066990,0.062991,0.093564,-0.199862,0.186082,-0.186082,0.130165,-0.098424,-0.038447,0.124567,0.051734,0.199862,0.228897,-0.000984,-0.059116,-0.075356,-0.186082,0.119093,0.113741,0.071111,2,-0.599803,-0.385195,0.556603,1.045398,-0.852047,0.019107,-0.449594,0.123922,0.535093,-0.938479,0.362577,0.693067,-0.762223,-0.228593,0.470784,0.325734,0.870925,-0.894836,-0.041143,-0.460159,0.460665,-0.793770,0.995014,-0.161295,-0.096929,1.087754,-0.425868,-1.228584,0.140058,0.005079,-0.354306,0.586218,1.537620,-0.108254,0.793759,0.412562,0.877731,0.044109,-0.996295,-0.254681,0.617820,0.217414,-0.086621,1.065512,-0.238150,-1.234953,-0.040391,0.753521,0.614997,-0.015687,0.540904,-0.571010,-0.174004,2.146362,0.139678,0.578588,0.838869,-0.727398,-0.690046,-0.311523,-0.004913,0.831588,0.225893,0.008374,1.757068,3.146713,2.164751,-610123.388050,562356.312597,0.034050,0.062800,0.036400,0.293800,0.149000,0.070200
probable_harvest_2005_1058,probable_harvest,2005,19,-76.845168,48.741734,0.504185,0.108512,-0.113741,0.038447,-0.093564,-0.071111,-0.135886,-0.088827,0.135886,0.038447,0.027128,0.079723,0.051734,-0.119093,-0.098424,-0.172795,-0.019931,-0.013841,-0.013841,0.041584,-0.008858,0.075356,-0.135886,0.041584,-0.098424,-0.019931,0.179377,-0.160000,-0.041584,0.346021,-0.027128,0.088827,0.059116,0.221453,0.055363,-0.124567,0.160000,0.251965,-0.048228,-0.038447,0.075356,-0.179377,0.022207,-0.192910,0.214133,0.071111,0.071111,0.088827,-0.221453,0.186082,-0.160000,0.135886,-0.130165,-0.035433,0.062991,0.071111,0.166336,0.206936,0.041584,-0.055363,-0.098424,-0.186082,0.135886,0.135886,0.051734,0,1.628749,-0.240933,0.402270,0.783369,-0.852047,1.442604,-0.759431,-0.015429,-0.041332,-0.106802,0.362577,1.810925,0.002912,-0.382323,1.297659,-0.632481,0.256165,-0.014213,0.620217,0.387140,0.680016,-1.363975,1.488033,0.262299,-0.096929,0.809529,-0.717627,-1.356394,0.381858,1.115130,-0.466065,0.586218,2.152308,0.112845,-0.812004,0.311295,1.308146,-1.297817,-0.035238,0.148103,-0.490076,0.217414,-0.086621,0.655140,-0.165038,-1.074228,-0.136237,0.300123,0.614997,0.591793,0.709482,-1.311846,-0.082927,0.161260,0.600803,-0.318673,0.447035,0.281601,-0.632731,-0.992445,-0.004913,1.299244,0.707264,-0.461232,3.493015,1.919903,1.822805,-609599.967937,562415.117400,0.031400,0.050600,0.038600,0.228000,0.153200,0.077000
probable_harvest_2005_1059,probable_harvest,2005,19,-76.838970,48.743620,0.595100,0.048228,-0.093564,0.093564,-0.084214,-0.055363,-0.153787,-0.119093,0.292872,0.113741,-0.017778,0.071111,-0.019931,-0.075356,-0.027128,-0.147697,-0.044844,0.000246,0.055363,0.135886,-0.172795,0.071111,-0.098424,0.022207,-0.093564,0.048228,0.199862,-0.206936,0.048228,0.301423,-0.035433,0.166336,0.059116,0.141730,0.130165,-0.130165,0.062991,0.160000,0.024606,0.001538,0.141730,-0.166336,-0.006151,-0.141730,0.214133,0.003937,0.051734,-0.048228,-0.135886,0.228897,-0.153787,0.098424,-0.093564,-0.024606,0.062991,0.088827,0.206936,0.228897,0.093564,-0.103406,-0.027128,-0.160000,0.135886,0.113741,0.113741,0,-0.139657,0.302954,1.271970,0.917924,-0.367489,1.044299,-1.789429,1.836782,1.726947,-1.655588,0.249126,0.521515,0.967471,1.873034,1.799691,-0.883015,0.716231,0.976488,2.066528,-2.599702,0.568727,-0.583626,1.046837,0.466347,0.996955,1.230660,-1.467161,0.509637,-0.794687,0.923986,1.362721,0.586218,0.987636,1.685102,-0.994660,-1.239178,0.010827,-0.170180,0.513214,1.794329,-0.250409,-0.236789,1.070152,0.655140,-1.356651,-1.457776,-2.909548,2.096920,1.378793,0.736500,-0.394432,-0.457587,0.244210,0.161260,1.022403,0.767919,0.838869,1.513688,-1.366547,1.112059,1.135007,1.299244,0.225893,1.041509,7.665585,-0.032320,3.540700,-609124.993008,562569.697791,0.026400,0.042200,0.029100,0.232400,0.125800,0.059500
probable_harvest_2005_1060,probable_harvest,2005,19,-76.851097,48.738230,0.579308,0.051734,-0.088827,0.071111,-0.103406,-0.075356,-0.206936,-0.051734,0.160000,0.044844,-0.008858,0.035433,0.002215,-0.130165,-0.079723,-0.192910,0.055363,0.003014,-0.038447,0.029773,-0.103406,0.051734,-0.119093,0.013841,-0.103406,-0.007443,0.214133,-0.160000,-0.027128,0.346021,-0.084214,0.108512,0.055363,0.192910,0.051734,-0.075356,0.135886,0.228897,0.075356,-0.098424,0.071111,-0.119093,0.024606,-0.186082,0.221453,0.088827,0.066990,0.022207,-0.166336,0.214133,-0.179377,0.124567,-0.088827,-0.019931,0.108512,0.048228,0.214133,0.221453,-0.004983,-0.055363,-0.062991,-0.206936,0.141730,0.124567,0.093564,2,-0.036800,0.430634,0.917684,0.641732,-0.982650,-0.138299,0.502946,0.269080,0.108914,-1.347952,-0.220883,0.919959,-0.241280,0.209246,0.895296,0.124688,0.806637,-0.366462,0.439074,-1.335478,0.060673,-1.014164,0.856352,0.053085,0.103485,1.524061,-0.717627,-1.056040,0.381858,-0.198808,-0.001611,0.481386,1.735327,0.036560,0.793759,-0.074111,0.982731,0.615547,-0.857916,0.042830,0.617820,0.255839,0.067708,0.858616,0.149233,-1.155808,-1.484305,1.457514,1.115415,0.140481,0.375951,-0.347036,0.385473,1.628768,0.056237,0.960542,0.706062,-0.822174,-0.632731,0.053452,-0.916311,1.461982,0.461230,0.552522,2.659749,3.368142,2.814359,-610076.267632,562080.395217,0.033600,0.057600,0.034000,0.274500,0.156000,0.073600
probable_harvest_2005_1061,probable_harvest,2005,19,-76.832233,48.743351,0.565044,0.113741,-0.113741,0.038447,-0.135886,-0.062991,-0.214133,-0.027128,0.124567,0.000554,0.044844,0.015748,0.024606,-0.147697,-0.093564,-0.236463,0.098424,-0.027128,-0.071111,-0.000984,-0.024606,0.051734,-0.062991,-0.041584,-0.088827,-0.044844,0.066990,-0.160000,0.006151,0.355309,-0.048228,0.055363,-0.004983,0.066990,0.029773,-0.079723,0.206936,0.244152,-0.019931,-0.113741,0.066990,-0.153787,0.113741,-0.221453,0.199862,0.066990,0.124567,0.098424,-0.267958,0.141730,-0.221453,0.113741,-0.103406,-0.035433,0.027128,0.027128,0.166336,0.186082,0.019931,-0.048228,-0.024606,-0.236463,0.079723,0.098424,0.062991,0,1.782131,-0.240933,0.402270,0.174329,-0.602197,-0.298442,1.340343,-0.148974,-0.931250,0.504226,-0.480199,1.322831,-0.627917,-0.228593,0.024123,0.557709,-0.177784,-0.834073,-0.032651,0.100224,0.060673,0.154438,-0.405609,0.665229,-0.496769,-1.501004,-0.717627,-0.364586,0.626904,0.629483,-1.255635,-1.204507,-0.104243,-0.425032,0.651248,1.061461,1.197939,-0.859715,-1.068015,-0.059392,-0.019785,1.683475,-0.731744,0.258446,-0.238150,-0.016123,0.057944,-0.676425,-0.176234,-0.839511,0.056922,-0.687304,-0.082927,-0.994898,-0.445877,-0.318673,0.074957,-0.231647,-0.523740,1.186507,-2.206785,-0.264749,-0.107056,-0.188413,-1.138383,3.530343,-1.887485,-608638.571097,562482.798931,0.030000,0.055300,0.034200,0.270800,0.158800,0.076400
probable_harvest_2005_1062,probable_harvest,2005,19,-76.831694,48.745507,0.688899,0.044844,-0.035433,0.075356,0.027128,0.027128,-0.199862,-0.093564,0.355309,0.141730,0.055363,0.214133,0.027128,-0.119093,-0.108512,-0.221453,0.038447,-0.032541,-0.024606,-0.062991,-0.012057,0.153787,-0.035433,0.019931,-0.066990,0.130165,0.044844,-0.160000,0.055363,0.206936,0.019931,0.103406,0.103406,0.098424,0.084214,-0.035433,0.103406,0.160000,-0.186082,-0.062991,0.022207,-0.199862,0.029773,-0.113741,0.153787,-0.017778,0.113741,0.166336,-0.327812,0.147697,-0.124567,0.075356,-0.071111,-0.103406,0.012057,0.035433,0.160000,0.267958,0.007443,-0.079723,-0.079723,-0.166336,0.088827,0.007443,0.022207,0,-0.238904,1.869942,0.984658,2.520196,2.170757,0.019107,-0.920629,2.573457,2.384273,0.867023,2.133217,1.368209,0.002912,-0.701459,0.324358,-0.045428,-0.354578,-0.168322,-0.983650,0.328860,2.736428,0.728488,0.995014,1.582153,2.311984,-1.956282,-0.717627,0.657897,-3.287339,2.198280,-0.122079,1.823571,0.354975,0.719250,2.096435,-0.593230,0.010827,-3.432137,-0.371903,-1.170098,-0.866535,0.338600,1.702762,-1.022259,-1.741852,-0.230423,1.432152,-1.933279,-0.069785,1.417050,-1.074182,0.066454,-2.136824,-1.480762,-0.248252,-0.488247,1.535829,-0.527640,-1.004807,-0.440444,0.858092,-0.011221,-2.084689,-1.176823,4.172491,1.042724,-4.920162,-608571.652487,562715.262654,0.020700,0.038800,0.020200,0.366000,0.158700,0.066700
probable_harvest_2005_1063,probable_harvest,2005,19,-76.844899,48.742003,0.504060,0.108512,-0.098424,0.059116,-0.103406,-0.066990,-0.130165,-0.066990,0.160000,0.041584,0.024606,0.088827,0.029773,-0.124567,-0.075356,-0.192910,0.010396,0.002215,-0.041584,0.035433,-0.027128,0.062991,-0.135886,0.048228,-0.119093,-0.027128,0.172795,-0.147697,-0.022207,0.336855,-0.044844,0.093564,0.066990,0.199862,0.044844,-0.113741,0.179377,0.236463,-0.022207,-0.075356,0.079723,-0.166336,0.013841,-0.192910,0.214133,0.079723,0.071111,0.071111,-0.236463,0.186082,-0.186082,0.130165,-0.108512,-0.032541,0.084214,0.066990,0.179377,0.214133,0.038447,-0.032541,-0.093564,-0.199862,0.124567,0.124567,0.066990,0,1.628749,0.171957,0.728407,0.641732,-0.725229,1.569898,-0.016240,0.269080,0.032347,-0.193789,0.482511,1.415801,-0.117827,0.347408,0.895296,-0.327510,0.780519,-0.411374,0.525872,0.054273,0.355828,-1.363975,1.639300,-0.605551,-0.212438,0.674210,-0.521156,-0.953791,0.140058,0.707357,-0.354306,0.806192,1.836876,-0.108254,-0.458736,0.620996,1.089467,-0.894954,-0.541501,0.256427,-0.250409,0.083419,-0.086621,0.655140,-0.012267,-1.074228,-0.494726,-0.015059,0.614997,-0.015687,0.540904,-0.806470,0.004434,0.845436,0.502723,0.030354,0.575451,0.207238,-0.284146,-0.848998,-0.607134,0.984047,0.461230,-0.091510,3.032815,2.449031,1.978199,-609576.942480,562442.401363,0.036800,0.057400,0.043800,0.254200,0.167200,0.085500
probable_harvest_2005_1064,probable_harvest,2005,19,-76.820105,48.723408,0.600262,0.032541,-0.062991,0.119093,-0.035433,0.015748,-0.236463,-0.071111,0.192910,0.079723,0.059116,0.079723,-0.027128,-0.192910,-0.093564,-0.364721,0.071111,0.029773,0.017778,-0.071111,0.006151,0.103406,0.004983,-0.022207,-0.108512,0.044844,0.062991,-0.153787,0.017778,0.284444,0.003937,0.062991,0.044844,-0.007443,0.088827,-0.038447,0.160000,0.179377,-0.035433,-0.153787,0.017778,-0.135886,0.055363,-0.172795,0.179377,0.051734,0.179377,0.130165,-0.336855,0.141730,-0.199862,0.108512,-0.022207,-0.048228,0.059116,0.059116,0.119093,0.244152,0.029773,-0.007443,-0.066990,-0.160000,0.044844,0.075356,0.006151,0,-0.599803,1.127074,1.674789,1.619914,1.820589,-0.795297,-0.156504,0.657377,0.928044,0.996442,0.362577,0.392020,-1.625035,-0.228593,-2.541406,0.283050,1.680561,0.438428,-1.108186,0.660607,1.415486,1.570343,0.035587,-0.161295,0.942655,-1.583207,-0.618409,-0.123024,-1.242585,1.830151,-1.075660,0.187515,-1.191629,0.816223,1.998082,0.311295,0.284175,-1.099719,-1.617311,-1.279948,0.309192,0.748467,0.368024,-0.310946,-0.508773,1.068769,0.700237,-2.123163,-0.176234,-0.336620,-0.097155,1.207858,-0.469543,0.036324,0.315345,-1.583070,1.111067,0.001647,0.099205,-0.064575,1.135007,-1.236036,-0.608484,-1.565926,-1.227413,1.651369,-2.102123,-608012.766262,560186.959679,0.027650,0.058600,0.030250,0.347150,0.188450,0.091650
probable_harvest_2005_1065,probable_harvest,2005,19,-76.837892,48.742273,0.560734,0.088827,-0.088827,0.103406,-0.119093,-0.044844,-0.124567,-0.088827,0.259900,0.093564,0.003937,0.059116,0.003937,-0.084214,-0.024606,-0.153787,-0.071111,-0.017778,0.066990,0.166336,-0.160000,0.071111,-0.088827,0.032541,-0.098424,0.051734,0.179377,-0.221453,0.066990,0.301423,-0.062991,0.179377,0.075356,0.124567,0.119093,-0.108512,0.084214,0.135886,0.003014,0.004983,0.160000,-0.179377,-0.027128,-0.141730,0.221453,0.008858,0.062991,-0.044844,-0.186082,0.206936,-0.172795,0.119093,-0.071111,-0.010396,0.062991,0.059116,0.186082,0.214133,0.119093,-0.098424,-0.041584,-0.192910,0.141730,0.113741,0.088827,0,1.051310,0.430634,1.427274,0.415997,-0.043820,1.694454,-0.759431,1.447760,1.253095,-0.906654,0.091106,0.950949,0.772117,1.952818,1.677875,-1.147158,0.127587,1.142926,2.533536,-2.366583,0.568727,-0.383734,1.282141,0.262299,1.053228,0.809529,-1.698996,0.899458,-0.794687,0.289672,1.670421,1.039914,0.736909,1.452367,-0.288124,-0.899982,-0.329340,-0.504471,0.560466,2.247460,-0.490076,-0.572761,1.070152,0.858616,-1.269353,-1.234953,-2.841086,1.042868,0.987019,0.293784,0.214624,0.066454,0.673577,0.161260,0.315345,0.209806,0.575451,2.118796,-1.290440,0.685348,-0.303335,1.461982,0.225893,0.437729,7.205815,-0.397466,3.199653,-609063.940935,562412.423634,0.027000,0.041200,0.029300,0.225300,0.132300,0.062200
probable_harvest_2005_1066,probable_harvest,2005,19,-76.811481,48.731493,0.639047,0.098424,-0.062991,0.079723,-0.044844,-0.013841,-0.236463,-0.032541,0.179377,0.055363,0.055363,0.048228,0.051734,-0.160000,-0.093564,-0.251965,0.055363,-0.022207,-0.008858,0.044844,-0.098424,0.062991,-0.032541,-0.022207,-0.084214,0.027128,0.088827,-0.192910,0.062991,0.327812,-0.044844,0.088827,0.044844,0.079723,0.079723,-0.062991,0.119093,0.236463,-0.048228,-0.098424,0.088827,-0.147697,0.075356,-0.199862,0.192910,0.075356,0.113741,0.027128,-0.310096,0.186082,-0.166336,0.071111,-0.093564,-0.029773,0.035433,0.027128,0.186082,0.228897,0.044844,-0.055363,-0.059116,-0.236463,0.130165,0.113741,0.066990,3,1.332811,1.127074,1.053574,1.484473,0.910151,-0.795297,1.156116,0.497703,0.355953,0.867023,-0.052328,1.810925,-0.899242,-0.228593,-0.285955,0.124688,-0.017062,0.057118,0.670220,-1.244696,0.355828,0.788712,0.035587,0.858945,0.658325,-1.052050,-1.243185,0.816381,-0.098497,0.707357,-0.466065,0.187515,0.081781,0.624863,1.197207,-0.342519,1.089467,-1.297817,-0.857916,0.482230,0.092135,1.068675,-0.243730,0.065229,-0.089744,-0.230423,-1.384725,-1.561260,0.614997,0.444221,-1.199256,-0.457587,0.088077,-0.727177,-0.445877,0.209806,0.838869,0.358880,-0.632731,0.167847,-2.206785,1.139933,0.225893,-0.091510,2.085828,2.798699,-1.867494,-607281.664892,561002.699251,0.026100,0.047600,0.026400,0.306300,0.155400,0.069700
