pair_id,fire_lon,fire_lat,harvest_lon,harvest_lat,pair_distance_km,fire_distance_to_aoi_boundary_m,harvest_distance_to_aoi_boundary_m,fire_distance_to_nbac_fire_edge_m,fire_inside_nbac_2005
pair_00308,-77.024382,48.821235,-77.024113,48.822582,0.150387,2581.600792,2435.897149,90.720443,True
pair_00309,-77.023843,48.791860,-77.023035,48.791860,0.059094,2255.716880,2314.392526,30.793053,True
pair_00310,-77.029233,48.833362,-77.027077,48.832554,0.181160,1206.670090,1314.201577,34.882831,True
pair_00311,-77.013333,48.799675,-77.013063,48.800214,0.062844,3121.612761,3148.297744,13.794125,True
pair_00312,-77.035162,48.816384,-77.035701,48.816923,0.071497,1756.764333,1724.743653,19.045852,True
pair_00313,-76.989617,48.845220,-76.989887,48.845489,0.035715,246.805508,214.905896,2.088878,False
pair_00314,-77.023574,48.793207,-77.024113,48.792938,0.049402,2292.968852,2250.290204,5.664513,False
pair_00315,-76.966441,48.844142,-76.965632,48.846298,0.245847,565.410033,335.416606,103.197778,True
pair_00316,-77.045403,48.782697,-77.043516,48.783506,0.164538,569.261488,716.980086,107.029015,True
pair_00317,-77.013872,48.806413,-77.009021,48.804257,0.427497,3171.003508,3494.863715,159.689084,True
pair_00318,-76.997433,48.837135,-77.000667,48.837943,0.252654,1067.784943,950.982220,55.498741,True
pair_00319,-77.008751,48.837943,-77.008482,48.838482,0.062814,880.949128,824.042038,17.193537,True
pair_00320,-77.025191,48.793477,-77.024382,48.792938,0.084025,2179.100560,2230.756333,33.803860,True
pair_00321,-77.034892,48.770300,-77.033006,48.768144,0.275684,1169.398618,1278.026205,3.180025,True
pair_00322,-77.030850,48.832284,-77.027077,48.832284,0.275708,1311.092214,1343.875070,185.288183,True
pair_00323,-77.010907,48.807760,-77.009290,48.804257,0.405370,3403.945838,3475.334028,174.771209,True
pair_00324,-77.014411,48.801831,-77.013872,48.801292,0.071505,3071.669987,3103.722061,11.198092,True
pair_00325,-77.021418,48.810725,-77.019262,48.809916,0.181282,2679.890826,2825.758843,109.277710,True
pair_00326,-77.034353,48.764371,-77.031389,48.763832,0.224960,1130.470159,1338.736382,46.973011,True
pair_00327,-77.030581,48.831745,-77.027347,48.831745,0.236324,1372.666742,1400.766655,151.392006,True
pair_00328,-77.044055,48.788356,-77.044055,48.786201,0.238542,741.780248,713.366705,16.808843,False
pair_00329,-77.038396,48.832554,-77.038396,48.832823,0.029775,1215.810272,1186.247251,0.114198,False
pair_00330,-77.023304,48.793746,-77.023304,48.792399,0.149101,2319.664710,2301.947641,53.644464,True
pair_00331,-77.039474,48.823391,-77.040282,48.823391,0.059055,1536.137844,1477.502940,4.462065,True
pair_00332,-77.046481,48.787279,-77.044325,48.786201,0.197757,551.397274,693.758079,39.853424,True
pair_00333,-77.016567,48.792399,-77.021418,48.791051,0.384887,2791.174914,2421.178235,34.383379,True
pair_00334,-77.031659,48.790512,-77.024652,48.789165,0.533739,1670.388208,2161.515724,250.428520,True
