disturbance_type,event_id,disturbance_year,observation_year,years_since_disturbance,supported_site_reference_pairs,blue_gap_median,blue_gap_mean,blue_gap_sd,dist_blue_median,ref_blue_median,green_gap_median,green_gap_mean,green_gap_sd,dist_green_median,ref_green_median,red_gap_median,red_gap_mean,red_gap_sd,dist_red_median,ref_red_median,nir_gap_median,nir_gap_mean,nir_gap_sd,dist_nir_median,ref_nir_median,swir1_gap_median,swir1_gap_mean,swir1_gap_sd,dist_swir1_median,ref_swir1_median,swir2_gap_median,swir2_gap_mean,swir2_gap_sd,dist_swir2_median,ref_swir2_median,nbr_gap_median,nbr_gap_mean,nbr_gap_sd,dist_nbr_median,ref_nbr_median,ndvi_gap_median,ndvi_gap_mean,ndvi_gap_sd,dist_ndvi_median,ref_ndvi_median
fire_total,fire_20071080460_2007,2007,2013,6,1,-0.018562,-0.018562,,0.034850,0.016288,-0.023732,-0.023732,,0.058802,0.035070,-0.026896,-0.026896,,0.047418,0.020522,-0.067760,-0.067760,,0.253970,0.186210,-0.111732,-0.111732,,0.192315,0.080583,-0.066302,-0.066302,,0.101345,0.035043,0.235623,0.235623,,0.447612,0.683235,0.077944,0.077944,,0.706628,0.784572
fire_total,fire_20071080460_2007,2007,2014,7,1,-0.020872,-0.020872,,0.037545,0.016673,-0.017408,-0.017408,,0.058858,0.041450,-0.019085,-0.019085,,0.042825,0.023740,-0.049527,-0.049527,,0.261560,0.212033,-0.097322,-0.097322,,0.183322,0.086000,-0.057943,-0.057943,,0.096203,0.038260,0.243178,0.243178,,0.456802,0.699980,0.089060,0.089060,,0.709677,0.798737
fire_total,fire_20071080460_2007,2007,2015,8,1,-0.016569,-0.016569,,0.032994,0.016425,-0.023168,-0.023168,,0.056946,0.033778,-0.029865,-0.029865,,0.051281,0.021416,-0.079873,-0.079873,,0.263622,0.183749,-0.113988,-0.113988,,0.189290,0.075302,-0.064556,-0.064556,,0.097000,0.032444,0.239327,0.239327,,0.464955,0.704282,0.118999,0.118999,,0.673165,0.792164
fire_total,fire_20071080460_2007,2007,2018,11,1,-0.017971,-0.017971,,0.036252,0.018281,-0.025616,-0.025616,,0.067355,0.041739,-0.032024,-0.032024,,0.055929,0.023905,-0.141831,-0.141831,,0.348350,0.206519,-0.092895,-0.092895,,0.185454,0.092559,-0.054203,-0.054203,,0.095859,0.041656,0.105988,0.105988,,0.559878,0.665866,0.076548,0.076548,,0.716515,0.793063
fire_total,fire_20071080460_2007,2007,2019,12,1,-0.016170,-0.016170,,0.037848,0.021678,-0.032244,-0.032244,,0.072553,0.040309,-0.034059,-0.034059,,0.061003,0.026944,-0.159568,-0.159568,,0.368397,0.208829,-0.110000,-0.110000,,0.206340,0.096340,-0.056499,-0.056499,,0.102555,0.046056,0.077431,0.077431,,0.564602,0.642033,0.055899,0.055899,,0.714012,0.769911
fire_total,fire_20071080460_2007,2007,2020,13,1,-0.010038,-0.010038,,0.032128,0.022090,-0.030278,-0.030278,,0.067053,0.036775,-0.029233,-0.029233,,0.054210,0.024977,-0.186504,-0.186504,,0.367297,0.180793,-0.101448,-0.101448,,0.188960,0.087512,-0.049967,-0.049967,,0.090345,0.040378,0.029520,0.029520,,0.605172,0.634692,0.014151,0.014151,,0.742948,0.757099
fire_total,fire_20071080460_2007,2007,2022,15,1,-0.011509,-0.011509,,0.029501,0.017992,-0.038582,-0.038582,,0.071837,0.033255,-0.032532,-0.032532,,0.052945,0.020413,-0.196116,-0.196116,,0.384939,0.188823,-0.096277,-0.096277,,0.170150,0.073873,-0.047726,-0.047726,,0.080101,0.032375,0.013543,0.013543,,0.665873,0.679416,0.016779,0.016779,,0.766738,0.783517
fire_total,fire_20071080460_2007,2007,2023,16,1,-0.013708,-0.013708,,0.033117,0.019409,-0.029301,-0.029301,,0.069692,0.040391,-0.033549,-0.033549,,0.059462,0.025913,-0.194122,-0.194122,,0.371120,0.176998,-0.098312,-0.098312,,0.184422,0.086110,-0.046269,-0.046269,,0.087458,0.041189,0.032651,0.032651,,0.588202,0.620853,0.024223,0.024223,,0.723804,0.748027
fire_total,fire_20071080460_2007,2007,2024,17,1,-0.015249,-0.015249,,0.034383,0.019134,-0.036493,-0.036493,,0.072003,0.035510,-0.036713,-0.036713,,0.060480,0.023767,-0.217168,-0.217168,,0.371423,0.154255,-0.116380,-0.116380,,0.199025,0.082645,-0.054120,-0.054120,,0.094442,0.040322,-0.017480,-0.017480,,0.614061,0.596581,0.014914,0.014914,,0.724631,0.739545
fire_total,fire_20071080460_2007,2007,2025,18,1,-0.008676,-0.008676,,0.027672,0.018996,-0.028023,-0.028023,,0.070105,0.042082,-0.029438,-0.029438,,0.055117,0.025679,-0.230312,-0.230312,,0.409895,0.179583,-0.099756,-0.099756,,0.181205,0.081449,-0.048661,-0.048661,,0.087815,0.039154,-0.010984,-0.010984,,0.654058,0.643074,-0.018958,-0.018958,,0.770291,0.751333
fire_total,fire_20071080490_2007,2007,2004,-3,1,-0.005638,-0.005638,,0.021884,0.016246,-0.011262,-0.011262,,0.046029,0.034767,-0.009611,-0.009611,,0.029639,0.020028,-0.036562,-0.036562,,0.220228,0.183666,-0.038212,-0.038212,,0.103339,0.065127,-0.018301,-0.018301,,0.048215,0.029914,0.089647,0.089647,,0.641932,0.731579,0.061093,0.061093,,0.761361,0.822454
fire_total,fire_20071080490_2007,2007,2005,-2,1,-0.006297,-0.006297,,0.023492,0.017195,-0.015139,-0.015139,,0.045520,0.030381,-0.009872,-0.009872,,0.032512,0.022640,-0.054863,-0.054863,,0.229385,0.174522,-0.059414,-0.059414,,0.125380,0.065966,-0.027720,-0.027720,,0.053797,0.026077,0.105822,0.105822,,0.623669,0.729491,0.031016,0.031016,,0.730354,0.761370
fire_total,fire_20071080490_2007,2007,2006,-1,1,-0.013296,-0.013296,,0.033626,0.020330,-0.020226,-0.020226,,0.054966,0.034740,-0.016197,-0.016197,,0.038837,0.022640,-0.050407,-0.050407,,0.231090,0.180683,-0.054533,-0.054533,,0.124693,0.070160,-0.026730,-0.026730,,0.056630,0.029900,0.128511,0.128511,,0.601061,0.729572,0.027260,0.027260,,0.727665,0.754925
fire_total,fire_20071080490_2007,2007,2013,6,1,-0.017628,-0.017628,,0.031743,0.014115,-0.021065,-0.021065,,0.054485,0.033420,-0.024310,-0.024310,,0.043678,0.019368,-0.065010,-0.065010,,0.247315,0.182305,-0.118442,-0.118442,,0.191325,0.072883,-0.068640,-0.068640,,0.100245,0.031605,0.238583,0.238583,,0.423150,0.661733,0.083635,0.083635,,0.716394,0.800029
fire_total,fire_20071080490_2007,2007,2014,7,1,-0.008470,-0.008470,,0.025885,0.017415,-0.011825,-0.011825,,0.046730,0.034905,-0.016775,-0.016775,,0.038315,0.021540,-0.049198,-0.049198,,0.237498,0.188300,-0.112310,-0.112310,,0.183570,0.071260,-0.064707,-0.064707,,0.096725,0.032018,0.272833,0.272833,,0.429717,0.702550,0.089137,0.089137,,0.715935,0.805072
fire_total,fire_20071080490_2007,2007,2015,8,1,-0.021037,-0.021037,,0.035647,0.014610,-0.020213,-0.020213,,0.053605,0.033392,-0.025849,-0.025849,,0.045272,0.019423,-0.050573,-0.050573,,0.234253,0.183680,-0.108570,-0.108570,,0.180078,0.071508,-0.061627,-0.061627,,0.091857,0.030230,0.271692,0.271692,,0.445666,0.717358,0.113417,0.113417,,0.695325,0.808742
fire_total,fire_20071080490_2007,2007,2019,12,1,-0.019909,-0.019909,,0.033722,0.013813,-0.031597,-0.031597,,0.062817,0.031220,-0.032478,-0.032478,,0.051268,0.018790,-0.143798,-0.143798,,0.318925,0.175127,-0.133953,-0.133953,,0.207028,0.073075,-0.069795,-0.069795,,0.102033,0.032238,0.161489,0.161489,,0.527586,0.689075,0.066298,0.066298,,0.723022,0.789320
fire_total,fire_20071080490_2007,2007,2020,13,1,-0.010656,-0.010656,,0.025486,0.014830,-0.024502,-0.024502,,0.054141,0.029639,-0.024516,-0.024516,,0.044035,0.019519,-0.148018,-0.148018,,0.305931,0.157913,-0.112612,-0.112612,,0.182910,0.070298,-0.053102,-0.053102,,0.082741,0.029639,0.111712,0.111712,,0.573645,0.685357,0.033627,0.033627,,0.748433,0.782060
fire_total,fire_20071080490_2007,2007,2021,14,1,-0.012760,-0.012760,,0.035964,0.023204,-0.020790,-0.020790,,0.059834,0.039044,-0.026620,-0.026620,,0.052161,0.025541,-0.117879,-0.117879,,0.287094,0.169215,-0.107731,-0.107731,,0.189510,0.081779,-0.054642,-0.054642,,0.093081,0.038439,0.082591,0.082591,,0.548968,0.631559,0.051445,0.051445,,0.684587,0.736032
fire_total,fire_20071080490_2007,2007,2022,15,1,-0.013764,-0.013764,,0.028855,0.015091,-0.031267,-0.031267,,0.059930,0.028663,-0.023650,-0.023650,,0.044571,0.020921,-0.160682,-0.160682,,0.315955,0.155273,-0.109959,-0.109959,,0.187214,0.077255,-0.054767,-0.054767,,0.088008,0.033241,0.067604,0.067604,,0.573516,0.641120,0.008544,0.008544,,0.752058,0.760602
fire_total,fire_20071080490_2007,2007,2024,17,1,-0.015001,-0.015001,,0.035551,0.020550,-0.028971,-0.028971,,0.063409,0.034438,-0.023196,-0.023196,,0.050621,0.027425,-0.160861,-0.160861,,0.307746,0.146885,-0.096058,-0.096058,,0.187365,0.091307,-0.045031,-0.045031,,0.088736,0.043705,-0.041351,-0.041351,,0.558696,0.517345,-0.023922,-0.023922,,0.728501,0.704579
fire_total,fire_20071080490_2007,2007,2025,18,1,-0.013572,-0.013572,,0.032073,0.018501,-0.030030,-0.030030,,0.064302,0.034272,-0.025025,-0.025025,,0.046730,0.021705,-0.130804,-0.130804,,0.293790,0.162986,-0.103688,-0.103688,,0.186677,0.082989,-0.047451,-0.047451,,0.089025,0.041574,0.075256,0.075256,,0.534893,0.610149,0.044901,0.044901,,0.719210,0.764111
fire_total,fire_20071080492_2007,2007,2004,-3,3,0.000372,-0.004973,0.016397,0.018969,0.024194,0.006064,0.006032,0.003774,0.038865,0.048655,0.002970,0.004070,0.007391,0.024675,0.025830,0.051054,0.006174,0.099330,0.278761,0.263045,0.001512,0.002333,0.004994,0.103724,0.105236,0.000110,0.003575,0.007213,0.040818,0.039566,0.041229,-0.013123,0.114629,0.759335,0.781503,0.005870,-0.014377,0.093822,0.840391,0.829587
fire_total,fire_20071080492_2007,2007,2005,-2,10,0.002379,0.001268,0.004624,0.032801,0.034390,0.001568,0.001906,0.003890,0.049459,0.052092,0.000178,0.000931,0.002979,0.036968,0.036823,0.040136,0.023625,0.067877,0.249941,0.294519,0.003822,0.004744,0.019158,0.107402,0.115136,-0.002145,0.000494,0.008273,0.049020,0.046731,0.011978,0.017077,0.070313,0.700323,0.722572,0.028872,0.011637,0.069791,0.766699,0.769677
fire_total,fire_20071080492_2007,2007,2006,-1,9,-0.001361,-0.001746,0.002993,0.021265,0.019354,-0.002805,-0.000874,0.004852,0.037105,0.034575,-0.002736,-0.002374,0.004320,0.023438,0.021526,0.081139,0.043959,0.081378,0.238845,0.302838,0.011055,0.004539,0.027795,0.100438,0.110557,-0.001774,-0.000683,0.010513,0.040419,0.041230,0.038275,0.043003,0.065051,0.722144,0.747726,0.044627,0.038380,0.064855,0.823416,0.871861
fire_total,fire_20071080492_2007,2007,2008,1,5,-0.006916,-0.006204,0.002661,0.024854,0.018955,-0.002943,-0.003655,0.005580,0.037187,0.033255,-0.014781,-0.014594,0.005630,0.034616,0.018762,0.065038,0.085322,0.064454,0.138387,0.234844,-0.061600,-0.067829,0.015228,0.159714,0.088695,-0.076161,-0.072927,0.013538,0.106941,0.030780,0.610478,0.565661,0.161035,0.120753,0.774625,0.226716,0.205670,0.087565,0.604410,0.799259
fire_total,fire_20071080492_2007,2007,2009,2,3,-0.008594,-0.008369,0.006033,0.046097,0.035592,-0.018164,-0.013613,0.008890,0.069968,0.050662,-0.017654,-0.021060,0.006860,0.061236,0.033255,0.052003,0.045105,0.055795,0.263622,0.302288,-0.087477,-0.086423,0.002780,0.199107,0.111630,-0.070648,-0.071895,0.011272,0.126164,0.044997,0.368350,0.368698,0.140422,0.375502,0.740889,0.127931,0.157303,0.097595,0.609655,0.811494
fire_total,fire_20071080492_2007,2007,2010,3,10,-0.009475,-0.011626,0.005771,0.028594,0.017801,-0.016692,-0.017823,0.008453,0.046619,0.032773,-0.022618,-0.024215,0.010242,0.043746,0.019367,0.052347,0.034526,0.084892,0.233888,0.279408,-0.101358,-0.100453,0.019794,0.197980,0.104260,-0.077371,-0.080411,0.014956,0.115123,0.036231,0.411900,0.423208,0.139678,0.352455,0.764430,0.177759,0.183053,0.117373,0.655995,0.872066
fire_total,fire_20071080492_2007,2007,2011,4,10,-0.012313,-0.013027,0.006144,0.032773,0.019807,-0.019814,-0.020959,0.010292,0.055585,0.036293,-0.021326,-0.022316,0.009981,0.044214,0.021176,0.025939,0.025228,0.088233,0.266441,0.302652,-0.121014,-0.115717,0.027164,0.220915,0.101455,-0.081318,-0.079999,0.013174,0.118780,0.037861,0.366035,0.358759,0.124636,0.426673,0.766819,0.162532,0.146548,0.112372,0.692201,0.879752
fire_total,fire_20071080492_2007,2007,2013,6,7,-0.011083,-0.009401,0.012846,0.027150,0.016563,-0.022522,-0.019014,0.012814,0.053880,0.031358,-0.016885,-0.014318,0.015328,0.034768,0.016618,-0.115967,-0.080007,0.091430,0.351127,0.268875,-0.114344,-0.110438,0.023875,0.197622,0.083278,-0.064323,-0.067167,0.020513,0.100108,0.031688,0.214671,0.214510,0.136667,0.557190,0.773458,0.061063,0.044361,0.113111,0.832754,0.892019
fire_total,fire_20071080492_2007,2007,2014,7,8,-0.009075,-0.009240,0.005039,0.026999,0.016989,-0.017600,-0.017552,0.004839,0.052670,0.034754,-0.016500,-0.016228,0.007191,0.035387,0.018625,-0.076808,-0.070950,0.080021,0.352722,0.281539,-0.109408,-0.112355,0.020767,0.209860,0.101496,-0.066729,-0.069238,0.011633,0.107656,0.038260,0.242548,0.223333,0.106340,0.540341,0.765741,0.069028,0.055889,0.080042,0.807142,0.886467
fire_total,fire_20071080492_2007,2007,2015,8,10,-0.014120,-0.014646,0.013612,0.045507,0.028250,-0.018234,-0.018134,0.011429,0.063368,0.040446,-0.015922,-0.018381,0.010829,0.050896,0.032458,-0.033083,-0.049726,0.054711,0.318596,0.273935,-0.106824,-0.110834,0.019262,0.197582,0.095350,-0.070194,-0.068863,0.012030,0.102472,0.034878,0.260371,0.254818,0.083611,0.511464,0.763891,0.053856,0.057580,0.081637,0.730628,0.794265
fire_total,fire_20071080492_2007,2007,2016,9,2,-0.012568,-0.012568,0.004550,0.030491,0.017924,-0.017036,-0.017036,0.000992,0.052409,0.035373,-0.012664,-0.012664,0.000525,0.031784,0.019120,-0.100939,-0.100939,0.027127,0.364644,0.263705,-0.101008,-0.101008,0.026951,0.188383,0.087375,-0.059056,-0.059056,0.015575,0.094264,0.035208,0.164723,0.164723,0.059288,0.583160,0.747883,0.020351,0.020351,0.014952,0.830461,0.850813
fire_total,fire_20071080492_2007,2007,2019,12,5,0.001154,-0.000592,0.008431,0.023218,0.023492,-0.008332,-0.006804,0.010710,0.049356,0.041024,-0.005803,-0.002728,0.010974,0.027535,0.022722,-0.146740,-0.130617,0.050485,0.409840,0.258631,-0.091988,-0.097754,0.019502,0.196412,0.104123,-0.039476,-0.041104,0.008271,0.084460,0.041574,0.110190,0.088339,0.075566,0.669228,0.778511,-0.044141,-0.028202,0.067877,0.859842,0.826748
fire_total,fire_20071080492_2007,2007,2020,13,6,-0.008078,-0.009675,0.006890,0.027438,0.015627,-0.013448,-0.014385,0.010564,0.048765,0.032320,-0.005652,-0.007210,0.011744,0.026414,0.018852,-0.138270,-0.136430,0.072319,0.375768,0.250594,-0.084487,-0.086852,0.027934,0.179988,0.093734,-0.038136,-0.037634,0.015927,0.075337,0.037318,0.085256,0.064266,0.097018,0.687258,0.751157,0.005334,-0.019946,0.080246,0.873860,0.863709
fire_total,fire_20071080492_2007,2007,2021,14,10,-0.010367,-0.008847,0.004289,0.029556,0.019601,-0.014891,-0.013647,0.005018,0.048944,0.033145,-0.008009,-0.007601,0.005952,0.029316,0.021451,-0.134110,-0.129907,0.044323,0.359081,0.223225,-0.074573,-0.075054,0.015659,0.161020,0.087692,-0.031893,-0.033404,0.008043,0.068345,0.036095,0.062592,0.048898,0.051182,0.658417,0.724824,-0.026290,-0.028737,0.052659,0.838832,0.827124
fire_total,fire_20071080492_2007,2007,2022,15,8,-0.004757,-0.004709,0.003880,0.020715,0.014926,-0.015193,-0.013504,0.006397,0.043182,0.028277,-0.006895,-0.005734,0.005754,0.023423,0.017876,-0.173270,-0.167984,0.052526,0.360382,0.203487,-0.061407,-0.062693,0.019290,0.159782,0.093411,-0.029239,-0.027720,0.009075,0.062920,0.039697,-0.040446,-0.026880,0.046745,0.700581,0.673235,-0.033927,-0.044396,0.042414,0.868856,0.834284
fire_total,fire_20071080492_2007,2007,2023,16,3,-0.012746,-0.014680,0.003824,0.034781,0.022035,-0.021959,-0.021313,0.005125,0.058926,0.035702,-0.006806,-0.006545,0.005236,0.032966,0.025225,-0.212973,-0.213620,0.052947,0.420703,0.188685,-0.062755,-0.067026,0.021699,0.178001,0.108000,-0.026166,-0.024722,0.005875,0.069541,0.048847,-0.088945,-0.095669,0.031895,0.694089,0.588875,-0.085465,-0.096981,0.050248,0.859723,0.751845
fire_total,fire_20071080492_2007,2007,2024,17,10,-0.009913,-0.008855,0.004044,0.032114,0.022722,-0.013289,-0.013176,0.006685,0.049851,0.034733,-0.005321,-0.004459,0.005296,0.029330,0.024379,-0.173422,-0.165109,0.052898,0.366555,0.177177,-0.051212,-0.053446,0.023457,0.167813,0.111547,-0.014582,-0.017974,0.009766,0.066173,0.051597,-0.109441,-0.102860,0.062644,0.689770,0.593036,-0.095674,-0.086966,0.050706,0.858216,0.749613
fire_total,fire_20071080492_2007,2007,2025,18,10,-0.010243,-0.009848,0.005471,0.030079,0.019643,-0.012388,-0.012641,0.007329,0.046248,0.033764,-0.004785,-0.004312,0.006005,0.026132,0.021128,-0.154000,-0.154839,0.053364,0.368123,0.206230,-0.053322,-0.051904,0.023672,0.157734,0.103820,-0.017092,-0.016913,0.009250,0.060343,0.046950,-0.076404,-0.067167,0.044123,0.710842,0.635430,-0.056936,-0.062729,0.054584,0.864820,0.807885
fire_total,fire_20071080494_2007,2007,2005,-2,1,0.002997,0.002997,,0.031578,0.034575,0.000550,0.000550,,0.057208,0.057758,0.007452,0.007452,,0.038343,0.045795,0.031762,0.031762,,0.197155,0.228917,0.021890,0.021890,,0.117295,0.139185,0.002943,0.002943,,0.057840,0.060783,0.013343,0.013343,,0.546344,0.559687,-0.007773,-0.007773,,0.674370,0.666597
fire_total,fire_20071080494_2007,2007,2007,0,1,0.009680,0.009680,,0.024620,0.034300,0.024956,0.024956,,0.035373,0.060329,0.002943,0.002943,,0.041505,0.044448,0.140993,0.140993,,0.098925,0.239918,0.013158,0.013158,,0.129698,0.142856,-0.032409,-0.032409,,0.103270,0.070861,0.563011,0.563011,,-0.019221,0.543790,0.279247,0.279247,,0.408887,0.688134
fire_total,fire_20071080494_2007,2007,2010,3,1,0.006146,0.006146,,0.021691,0.027837,0.011729,0.011729,,0.037614,0.049343,0.003245,0.003245,,0.033227,0.036472,0.072421,0.072421,,0.143379,0.215800,-0.042404,-0.042404,,0.163907,0.121503,-0.047781,-0.047781,,0.104274,0.056493,0.410333,0.410333,,0.159861,0.570194,0.098931,0.098931,,0.622105,0.721036
fire_total,fire_20071080494_2007,2007,2011,4,1,-0.001884,-0.001884,,0.027411,0.025527,-0.000316,-0.000316,,0.046125,0.045809,-0.002227,-0.002227,,0.037105,0.034878,0.061394,0.061394,,0.190170,0.251564,-0.056362,-0.056362,,0.188603,0.132241,-0.052401,-0.052401,,0.114132,0.061731,0.352699,0.352699,,0.249391,0.602090,0.081399,0.081399,,0.675910,0.757309
fire_total,fire_20071080494_2007,2007,2014,7,1,-0.004043,-0.004043,,0.027975,0.023932,-0.003368,-0.003368,,0.050841,0.047473,-0.009419,-0.009419,,0.042289,0.032870,0.001691,0.001691,,0.246820,0.248511,-0.074814,-0.074814,,0.207660,0.132846,-0.047699,-0.047699,,0.113060,0.065361,0.224668,0.224668,,0.376678,0.601346,0.074399,0.074399,,0.708824,0.783223
fire_total,fire_20071080494_2007,2007,2015,8,1,-0.016032,-0.016032,,0.054457,0.038425,-0.010739,-0.010739,,0.070449,0.059710,0.002200,0.002200,,0.052175,0.054375,-0.000894,-0.000894,,0.254011,0.253117,-0.072984,-0.072984,,0.211317,0.138333,-0.052525,-0.052525,,0.117955,0.065430,0.230957,0.230957,,0.366068,0.597025,-0.015599,-0.015599,,0.661932,0.646333
fire_total,fire_20071080494_2007,2007,2019,12,1,-0.008250,-0.008250,,0.033310,0.025060,-0.011783,-0.011783,,0.060397,0.048614,-0.015964,-0.015964,,0.048820,0.032856,-0.022633,-0.022633,,0.269178,0.246545,-0.065395,-0.065395,,0.198255,0.132860,-0.039243,-0.039243,,0.101538,0.062295,0.136755,0.136755,,0.471707,0.608462,0.051368,0.051368,,0.722875,0.774243
fire_total,fire_20071080494_2007,2007,2022,15,1,-0.006724,-0.006724,,0.027824,0.021100,-0.007384,-0.007384,,0.050539,0.043155,-0.007246,-0.007246,,0.036514,0.029268,-0.030745,-0.030745,,0.272478,0.241733,-0.038679,-0.038679,,0.168954,0.130275,-0.020171,-0.020171,,0.077186,0.057015,0.062401,0.062401,,0.558360,0.620761,0.031143,0.031143,,0.764768,0.795911
fire_total,fire_20071080494_2007,2007,2024,17,1,-0.024943,-0.024943,,0.048545,0.023602,-0.007480,-0.007480,,0.059572,0.052092,-0.013971,-0.013971,,0.051048,0.037077,0.085883,0.085883,,0.193800,0.279683,-0.040755,-0.040755,,0.185522,0.144767,-0.060912,-0.060912,,0.128295,0.067383,0.395704,0.395704,,0.200420,0.596124,0.183485,0.183485,,0.583026,0.766511
fire_total,fire_20071080494_2007,2007,2025,18,1,-0.018838,-0.018838,,0.039360,0.020522,-0.009817,-0.009817,,0.055777,0.045960,-0.015867,-0.015867,,0.047747,0.031880,0.036712,0.036712,,0.213243,0.249955,-0.062563,-0.062563,,0.189758,0.127195,-0.054724,-0.054724,,0.115507,0.060783,0.321691,0.321691,,0.287095,0.608786,0.149276,0.149276,,0.627391,0.776667
fire_total,fire_20071080498_2007,2007,2004,-3,6,0.001945,0.001393,0.004024,0.016879,0.020344,0.004861,0.005835,0.006853,0.035771,0.041141,0.005315,0.004348,0.005037,0.020949,0.025754,0.027727,0.016850,0.031069,0.188815,0.221774,0.006785,0.007253,0.024891,0.075605,0.079461,0.001644,0.002743,0.013414,0.033812,0.030883,0.018170,-0.004623,0.095881,0.699604,0.729210,-0.015235,-0.020987,0.020316,0.779785,0.771139
fire_total,fire_20071080498_2007,2007,2005,-2,6,0.002186,0.003990,0.004577,0.026215,0.029466,0.003136,0.002088,0.007554,0.042385,0.043554,0.001815,0.001996,0.006508,0.028663,0.030107,0.023292,0.014951,0.039506,0.202236,0.238006,0.004750,0.008200,0.025256,0.086633,0.088090,0.001362,0.003522,0.014994,0.037242,0.037820,0.034790,-0.006339,0.084601,0.661244,0.687243,0.008521,0.002775,0.035026,0.727012,0.737431
fire_total,fire_20071080498_2007,2007,2006,-1,6,0.000880,0.000525,0.002300,0.023568,0.023396,0.002764,0.003358,0.007422,0.038040,0.040859,-0.001045,0.000511,0.007003,0.027536,0.026868,0.025850,0.014465,0.039471,0.199039,0.226965,-0.001389,0.002163,0.033085,0.086110,0.083401,-0.003204,0.001627,0.019106,0.037628,0.034368,0.048741,0.016758,0.113158,0.644722,0.704182,0.032979,0.021076,0.055789,0.737453,0.759706
fire_total,fire_20071080498_2007,2007,2008,1,6,-0.005926,-0.005221,0.003381,0.022970,0.017181,0.002104,0.001432,0.007206,0.034664,0.031825,-0.014108,-0.012584,0.005930,0.034665,0.019161,0.119494,0.113458,0.038943,0.087169,0.213462,-0.071431,-0.061829,0.034180,0.152756,0.070669,-0.083669,-0.081554,0.018390,0.118471,0.029886,0.905374,0.843337,0.189494,-0.202138,0.727637,0.408735,0.379755,0.121261,0.420330,0.835225
fire_total,fire_20071080498_2007,2007,2010,3,3,-0.009597,-0.008195,0.003919,0.030010,0.020852,0.000165,-0.002567,0.008450,0.039360,0.039497,-0.018288,-0.017408,0.002485,0.043348,0.025060,0.083573,0.074104,0.060195,0.117680,0.205240,-0.104995,-0.104023,0.008813,0.184532,0.079537,-0.104142,-0.101466,0.019253,0.131842,0.028002,0.864697,0.737138,0.250388,-0.111589,0.737981,0.310364,0.270255,0.117257,0.453549,0.782371
fire_total,fire_20071080498_2007,2007,2011,4,6,-0.004159,-0.002553,0.008431,0.025514,0.022083,-0.001053,0.001100,0.009746,0.038961,0.038693,-0.009639,-0.010122,0.007548,0.037470,0.025369,0.069376,0.062615,0.042463,0.170432,0.235359,-0.100237,-0.090578,0.030154,0.190637,0.085952,-0.084239,-0.085323,0.025663,0.124699,0.031488,0.566464,0.573745,0.202164,0.130302,0.745987,0.165249,0.156894,0.098600,0.612286,0.787905
fire_total,fire_20071080498_2007,2007,2013,6,6,-0.013654,-0.009958,0.009156,0.031922,0.020083,-0.013551,-0.007810,0.013218,0.047720,0.037249,-0.024283,-0.018264,0.011238,0.045685,0.021004,0.035420,0.024972,0.052853,0.195504,0.252539,-0.124857,-0.107049,0.034855,0.205219,0.085924,-0.091231,-0.081242,0.027065,0.119990,0.033626,0.481105,0.452043,0.187740,0.207072,0.734606,0.167130,0.158326,0.090979,0.641283,0.815923
fire_total,fire_20071080498_2007,2007,2014,7,6,-0.013296,-0.012270,0.005482,0.034403,0.021650,-0.012581,-0.010101,0.006950,0.048991,0.036225,-0.017682,-0.018274,0.006255,0.041994,0.022448,-0.008621,-0.007769,0.032221,0.225041,0.215422,-0.112943,-0.099777,0.035274,0.188561,0.073666,-0.075894,-0.070159,0.023778,0.112482,0.029783,0.373933,0.357565,0.155142,0.327241,0.730608,0.140311,0.129485,0.074888,0.667716,0.802092
fire_total,fire_20071080498_2007,2007,2015,8,6,-0.023533,-0.022488,0.005512,0.044963,0.021987,-0.014926,-0.015038,0.007462,0.056712,0.043492,-0.021168,-0.018503,0.007811,0.046187,0.026023,-0.026751,-0.023334,0.031225,0.226525,0.213662,-0.113692,-0.096555,0.034903,0.183233,0.072222,-0.071954,-0.066715,0.022971,0.104975,0.029220,0.345396,0.326532,0.150683,0.357112,0.733729,0.082935,0.091172,0.049268,0.673054,0.765491
fire_total,fire_20071080498_2007,2007,2016,9,5,-0.012347,-0.011173,0.005796,0.031137,0.018790,-0.015345,-0.014861,0.006246,0.054677,0.038810,-0.019663,-0.019800,0.009852,0.040488,0.020138,-0.061669,-0.048763,0.038424,0.274210,0.236920,-0.118442,-0.114013,0.029903,0.205185,0.078327,-0.078073,-0.069729,0.024708,0.107478,0.030917,0.346891,0.296269,0.165956,0.443030,0.734902,0.129435,0.104083,0.079472,0.726508,0.822102
fire_total,fire_20071080498_2007,2007,2017,10,5,-0.017022,-0.019143,0.009863,0.037985,0.022007,-0.017476,-0.023735,0.011656,0.060315,0.041106,-0.027816,-0.027709,0.008184,0.051020,0.023891,-0.050381,-0.047584,0.023946,0.252705,0.204993,-0.111513,-0.104654,0.031486,0.193085,0.072800,-0.063153,-0.062881,0.020830,0.097976,0.031495,0.333186,0.284891,0.155727,0.437428,0.715864,0.112307,0.125406,0.087840,0.680938,0.792506
