zone,ESA CCI Biomass
"Boreal managed forest (Abitibi, Quebec)",47.59199026003001
"Intact tropical rainforest (Tapajos, Brazil)",106.54190135717725
"Native temperate forest (Alerce Costero, Chile)",118.00866758257109
"Pinus radiata plantation (Biobio, Chile)",95.78299307669113
