year,loss_ha,recovery_ha,net_balance_ha,net_balance_cumsum
2018,244166.98693663717,509798.8498467249,265631.8629100877,265631.8629100877
2019,138800.69379613618,242620.53367793997,103819.83988180378,369451.70279189147
2020,400314.8390858597,112177.32870851252,-288137.5103773472,81314.19241454429
2021,211719.41291578917,218584.10064752487,6864.687731735699,88178.88014627999
2022,189135.5334896308,303019.38082333014,113883.84733369935,202062.72747997934
2023,627126.8423220161,263698.5985568406,-363428.2437651755,-161365.51628519618
2024,241923.56528190026,312587.74031619914,70664.17503429888,-90701.3412508973
2025,209910.67524549193,311828.18745724414,101917.51221175221,11216.170960854914
